model,F1_score,accuracy,precision,recall
logreg,0.899197725369604,0.900745573159366,0.881423872110443,0.842688203270087
SVC,0.782551891530612,0.796831314072693,0.866013446689686,0.650459763946264
SGDC,0.905741187138499,0.906570363466915,0.883280592769162,0.86132184744746
Knc,0.45736459471976,0.46668219944082,0.513816988109312,0.356425184952099
dtree,0.873585459541921,0.873485554520037,0.84207087930821,0.843328163001736
